,name,cluster
0,Kiku Cuernavaca,1
1,puesto de tacos,2
2,El Rincón de San Francisco,1
3,little pizza Emilio Portes Gil,2
4,carnitas_mata,0
5,Restaurant los Compadres,1
6,Taqueria EL amigo ,2
7,shi ro ie,0
8,Pollo_Frito_Buenos_Aires,2
9,la Estrella de Dimas,1
10,Restaurante 75,1
11,Abondance Restaurante Bar,1
12,El angel Restaurante,1
13,Restaurante Pueblo Bonito,1
14,Mcdonalds Parque Tangamanga,0
15,Tortas y hamburguesas el gordo,1
16,Sirlone,1
17,rockabilly ,2
18,Unicols Pizza,2
19,TACOS EL GUERO,2
20,Restaurant El Muladar de Calzada,1
21,La Posada del Virrey,1
22,Restaurant and Bar and Clothesline Carlos N Charlies,1
23,KFC,2
24,Giovannis,2
25,Restaurant Oriental Express,1
26,Mariscos Tia Licha,0
27,cafe ambar,2
28,Restaurante la Gran Via,1
29,don burguers,2
30,Restaurante y Pescaderia Tampico,1
31,Rincon del Bife,2
32,La Fontana Pizza Restaurante and Cafe,1
33,Restaurante la Estrella de Dima,1
34,El Rincon de San Francisco,1
35,Preambulo Wifi Zone Cafe,1
36,El Herradero Restaurante and Bar,1
37,Koye Sushi,1
38,Restaurant Teely,1
39,la parroquia,0
40,Luna Cafe,1
41,Hamburguesas La perica,2
42,Restaurante El Reyecito,1
43,churchs,2
44,Dominos Pizza,1
45,el pueblito,0
46,emilianos,2
47,Restaurant Bar Hacienda los Martinez,1
48,Vips,0
49,Restaurante Alhondiga,1
50,los Toneles,1
51,Restaurant los Pinos,1
52,Restaurante Guerra,1
53,Michiko Restaurant Japones,1
54,Restaurante Marisco Sam,1
55,la Cochinita Pibil Restaurante Yucateco,1
56,Potzocalli,2
57,Restaurante la Parroquia Potosina,1
58,El Oceano Dorado,0
59,Restaurante El Chivero S.A. de C.V.,1
60,Restaurant la Chalita,1
61,El Club,1
62,Gordas de morales,1
63,Restaurante Versalles,1
64,Subway,0
65,La Cantina Restaurante,1
66,Cenaduria El RincÃ³n de Tlaquepaque,1
67,Los Vikingos,0
68,Hamburguesas Valle Dorado,2
69,la Cantina,1
70,dairy queen,2
71,Arrachela Grill,1
72,vips,0
73,palomo tec,2
74,Restaurante Casa de las Flores,1
75,VIPS,2
76,TACOS CORRECAMINOS,2
77,Restaurant Wu Zhuo Yi,1
78,El Mundo de la Pasta,1
79,Restaurante la Cantina,1
80,Gorditas Doa Gloria,1
81,el lechon potosino ,2
82,Restaurante Bar Fu-hao,1
83,tortas hawai,0
84,Carls Jr,0
85,Hamburguesas saul,2
86,Carreton de Flautas y Migadas,2
87,Rincon Huasteco,2
88,El cotorreo,2
89,Gorditas Dona Tota,0
90,Pizzeria Julios,0
91,Chilis Cuernavaca,1
92,Cafe Chaires,2
93,tacos los volcanes,2
94,Little Cesarz,0
95,cafe punta del cielo,0
96,tacos de la estacion,2
97,Restaurant Orizatlan,1
98,Restaurant Familiar El Chino,0
99,Restaurant de Mariscos de Picon,1
100,Sanborns Casa Piedra,0
101,La Estrella de Dimas,1
102,pizza clasica,1
103,Carnitas Mata  Calle 16 de Septiembre,2
104,Restaurante de Mariscos la Langosta,1
105,Restaurante Bar El Gallinero,1
106,puesto de gorditas,2
107,Log Yin,2
108,Mariscos El Pescador,1
109,carnitas mata calle Emilio Portes Gil,2
110,crudalia,2
111,tacos de barbacoa enfrente del Tec,2
112,Restaurant Las Mananitas,1
113,Restaurante El Cielo Potosino,1
114,Mikasa,1
115,Cafeteria cenidet,2
116,Restaurante Tiberius,1
117,Cabana Huasteca,1
118,Gorditas Dona Tota,0
119,Cafeteria y Restaurant El Pacifico,1
120,La Virreina,1
121,Tortas Locas Hipocampo,1
122,tacos abi,2
123,la perica hamburguesa,0
124,McDonalds Centro,0
125,Chaires,0
126,Sushi Itto,1
127,Paniroles,0
128,Restaurant Bar Coty y Pablo,2
129,sirloin stockade,2
