,placeID,latitude,longitude,name,state,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,Rcuisine_str,Rpayment_str,parking_lot_str
0,134999,18.915421,-99.184871,Kiku Cuernavaca,Morelos,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Japanese,Unknown,None
1,132825,22.1473922,-100.983092,puesto de tacos,San Luis Potosi,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Open,None,Mexican,Cash,None
2,135106,22.1497088,-100.9760928,El Rincón de San Francisco,San Luis Potosi,Wine-beer,Only at bar,Informal,Partially,Medium,Familiar,F,Open,None,Mexican,"Cash, visa, mastercard-eurocard",None
3,132667,23.7526973,-99.1633594,little pizza Emilio Portes Gil,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,T,Closed,None,Armenian,Cash,None
4,132613,23.7529035,-99.165076,carnitas_mata,Tamaulipas,No_alcohol_served,Permitted,Informal,Completely,Medium,Familiar,T,Closed,None,Mexican,Cash,Yes
5,135040,22.135617,-100.969709,Restaurant los Compadres,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",Yes
6,132732,23.7543569,-99.171288,Taqueria EL amigo ,Tamaulipas,No_alcohol_served,None,Casual,Completely,Low,Familiar,F,Open,None,Mexican,Cash,None
7,132875,22.1499013,-100.9937793,shi ro ie,Unknown,Wine-beer,Section,Informal,No_accessibility,High,Familiar,T,Open,Internet,Japanese,"Cash, visa, mastercard-eurocard, american_express, bank_debit_cards",Valet parking
8,132609,23.7602683,-99.1658646,Pollo_Frito_Buenos_Aires,Tamaulipas,No_alcohol_served,Not permitted,Informal,Completely,Low,Quiet,T,Closed,None,Fast_food,Cash,Yes
9,135082,22.151448,-100.915099,la Estrella de Dimas,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
10,135070,22.152918,-100.915164,Restaurante 75,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,Yes
11,135069,22.140129,-100.944872,Abondance Restaurante Bar,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,Low,Familiar,F,Closed,None,Bar,Cash,Yes
12,135065,22.14958,-100.999557,El angel Restaurante,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",None
13,135076,22.181017,-100.973614,Restaurante Pueblo Bonito,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",Yes
14,135086,22.141421,-101.013955,Mcdonalds Parque Tangamanga,San Luis Potosi,No_alcohol_served,Not permitted,Informal,No_accessibility,Medium,Familiar,T,Closed,None,"Burgers, fast_food","Cash, visa, mastercard-eurocard",Yes
15,132870,22.1430781,-100.9354788,Tortas y hamburguesas el gordo,San Luis Potosi,No_alcohol_served,Not permitted,Informal,No_accessibility,Low,Familiar,F,Closed,None,Burgers,Cash,None
16,132854,22.1378633,-100.9383273,Sirlone,San Luis Potosi,Wine-beer,None,Informal,Completely,Medium,Familiar,F,Closed,None,International,"Cash, visa, bank_debit_cards",Yes
17,132937,22.1500193,-100.9799203,rockabilly ,San Luis Potosi,Full_bar,Section,Informal,Completely,Low,Quiet,F,Closed,Variety,Bar,Cash,None
18,132856,22.1513782,-100.9746337,Unicols Pizza,San Luis Potosi,Wine-beer,None,Informal,Completely,Low,Familiar,F,Closed,None,Italian,Cash,None
19,132668,23.738212,-99.1519547,TACOS EL GUERO,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Mexican,Unknown,None
20,135033,22.14161,-100.973142,Restaurant El Muladar de Calzada,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",None
21,132862,22.1506429,-100.9870148,La Posada del Virrey,San Luis Potosi,Wine-beer,None,Casual,Completely,High,Familiar,F,Closed,None,International,"Cash, visa, mastercard-eurocard, american_express, bank_debit_cards",Valet parking
22,134983,18.948657,-99.235361,Restaurant and Bar and Clothesline Carlos N Charlies,Morelos,Full_bar,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,"Bar, bar_pub_brewery","Cash, visa, mastercard-eurocard",Yes
23,132851,22.136872,-100.9345736,KFC,San Luis Potosi,No_alcohol_served,Not permitted,Informal,Completely,Low,Familiar,F,Closed,None,"American, game",Cash,Yes
24,135013,18.917441,-99.165945,Giovannis,Morelos,No_alcohol_served,None,Informal,No_accessibility,Low,Familiar,F,Closed,None,Unknown,Cash,None
25,135042,22.159357,-100.973411,Restaurant Oriental Express,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Chinese,Cash,None
26,132768,18.9257734,-99.2326355,Mariscos Tia Licha,Morelos,No_alcohol_served,Not permitted,Casual,Partially,Medium,Familiar,T,Closed,None,Family,"Cash, bank_debit_cards",None
27,132561,23.726819,-99.1265059,cafe ambar,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
28,135045,22.151189,-100.98179,Restaurante la Gran Via,San Luis Potosi,Wine-beer,None,Casual,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",Yes
29,132847,22.1443365,-100.9373825,don burguers,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Low,Familiar,F,Open,None,Unknown,Cash,None
30,135054,22.140626,-100.915657,Restaurante y Pescaderia Tampico,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Seafood,"Cash, visa, mastercard-eurocard",Yes
31,134975,18.940828,-99.215426,Rincon del Bife,Unknown,Full_bar,Section,Informal,Completely,High,Familiar,F,Closed,Variety,Unknown,"Cash, visa, mastercard-eurocard, discover",Valet parking
32,135053,22.178931,-101.012861,La Fontana Pizza Restaurante and Cafe,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,"Cafeteria, fast_food, pizzeria","Cash, visa, mastercard-eurocard, american_express",Yes
33,135050,22.174887,-100.970825,Restaurante la Estrella de Dima,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",Yes
34,135025,22.14955,-100.97797,El Rincon de San Francisco,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Mexican,"Cash, visa, mastercard-eurocard, american_express",None
35,135030,22.14788,-100.989472,Preambulo Wifi Zone Cafe,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Quiet,F,Closed,Internet,"Cafe-coffee_shop, cafeteria",Cash,None
36,135057,22.145992,-100.955118,El Herradero Restaurante and Bar,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Bar,"Cash, visa, mastercard-eurocard, american_express",Yes
37,135079,22.156376,-100.998355,Koye Sushi,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Chinese,"Cash, american_express",None
38,134992,18.936683,-99.247366,Restaurant Teely,Morelos,Wine-beer,Section,Casual,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",Yes
39,132954,22.1603808,-100.9880447,la parroquia,San Luis Potosi,No_alcohol_served,Not permitted,Informal,Partially,Medium,Familiar,T,Closed,None,Breakfast-brunch,"Cash, visa, mastercard-eurocard, bank_debit_cards",Yes
40,135041,22.15106,-100.977659,Luna Cafe,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,"Bar, cafeteria",Cash,None
41,132608,23.7588052,-99.1651297,Hamburguesas La perica,Tamaulipas,No_alcohol_served,Permitted,Informal,Completely,Low,Quiet,T,Open,None,Mexican,Cash,Public
42,135046,22.141282,-101.002958,Restaurante El Reyecito,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Fast_food,"Cash, visa, mastercard-eurocard",Yes
43,132564,23.7309245,-99.1451848,churchs,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
44,132869,22.1412384,-100.9239252,Dominos Pizza,San Luis Potosi,No_alcohol_served,Not permitted,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Pizzeria,Cash,Yes
45,132925,22.1534997,-100.976243,el pueblito,Unknown,Wine-beer,Not permitted,Informal,Completely,Medium,Familiar,F,Closed,None,Mexican,Cash,None
46,132955,22.147622,-101.0102749,emilianos,Mexico,Wine-beer,None,Informal,Completely,Low,Familiar,T,Closed,Variety,Bar_pub_brewery,"Cash, visa, mastercard-eurocard, bank_debit_cards, carte_blanche",None
47,135059,22.145108,-100.989547,Restaurant Bar Hacienda los Martinez,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Bar,Cash,Yes
48,135001,18.941859,-99.241927,Vips,Morelos,Wine-beer,None,Informal,Completely,Medium,Familiar,T,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",Yes
49,135063,22.156724,-100.975556,Restaurante Alhondiga,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
50,135080,22.145008,-100.997969,los Toneles,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard, american_express",None
51,135000,18.870565,-99.226938,Restaurant los Pinos,Morelos,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
52,135066,22.16835,-100.972466,Restaurante Guerra,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",Yes
53,135034,22.140517,-101.021422,Michiko Restaurant Japones,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Japanese,"Cash, visa, mastercard-eurocard, american_express",None
54,135060,22.156883,-100.978485,Restaurante Marisco Sam,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Seafood,Cash,None
55,135055,22.148854,-101.008472,la Cochinita Pibil Restaurante Yucateco,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Mexican,"Cash, visa, mastercard-eurocard, american_express",Yes
56,135108,22.1362534,-100.9335852,Potzocalli,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
57,135074,22.149689,-100.999525,Restaurante la Parroquia Potosina,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Contemporary,"Cash, visa, mastercard-eurocard",Public
58,135018,18.859803,-99.222164,El Oceano Dorado,Morelos,Full_bar,Permitted,Informal,Completely,Medium,Familiar,F,Open,Variety,Mexican,"Cash, visa, mastercard-eurocard, bank_debit_cards",Yes
59,135064,22.154687,-100.996617,Restaurante El Chivero S.A. de C.V.,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",Yes
60,135038,22.155651,-100.977767,Restaurant la Chalita,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
61,135081,22.164842,-100.960493,El Club,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",None
62,132723,22.1489337,-101.019845,Gordas de morales,San Luis Potosi,Full_bar,Section,Informal,Completely,Medium,Familiar,F,Closed,None,Mexican,"Cash, visa",Public
63,135051,22.151189,-100.977058,Restaurante Versalles,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,Low,Familiar,F,Closed,None,Unknown,Cash,None
64,135021,18.933537,-99.222497,Subway,Morelos,No_alcohol_served,Not permitted,Informal,No_accessibility,Low,Familiar,T,Closed,None,Fast_food,Cash,Public
65,135052,22.150981,-100.977412,La Cantina Restaurante,San Luis Potosi,Full_bar,None,Informal,No_accessibility,High,Familiar,F,Closed,None,"Bar, bar_pub_brewery","Cash, visa, mastercard-eurocard",None
66,132845,22.1262926,-100.9007764,Cenaduria El RincÃ³n de Tlaquepaque,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Mexican,Cash,None
67,135011,18.91061,-99.169539,Los Vikingos,Morelos,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,T,Closed,None,Unknown,Cash,None
68,132858,22.1312917,-100.9371941,Hamburguesas Valle Dorado,San Luis Potosi,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Burgers,Cash,None
69,135026,22.148665,-101.001273,la Cantina,San Luis Potosi,Full_bar,None,Informal,No_accessibility,High,Familiar,F,Closed,None,"Bar, bar_pub_brewery",Unknown,None
70,132884,22.1395776,-101.0278863,dairy queen,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
71,135016,18.869347,-99.209944,Arrachela Grill,Morelos,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
72,135104,23.7529821,-99.1684341,vips,Unknown,Full_bar,Not permitted,Informal,Completely,Medium,Familiar,T,Closed,Variety,Mexican,"Cash, visa, mastercard-eurocard",Yes
73,132630,23.7529305,-99.1644725,palomo tec,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Mexican,Unknown,None
74,135047,22.150921,-100.993828,Restaurante Casa de las Flores,San Luis Potosi,Wine-beer,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Unknown,"Cash, visa, mastercard-eurocard",Yes
75,132951,22.1544736,-100.9858091,VIPS,San Luis Potosi,No_alcohol_served,Not permitted,Casual,Completely,Low,Familiar,F,Closed,None,American,Cash,Yes
76,132665,23.7367977,-99.1342413,TACOS CORRECAMINOS,Tamaulipas,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Mexican,Unknown,None
77,135044,22.141848,-100.997475,Restaurant Wu Zhuo Yi,San Luis Potosi,No_alcohol_served,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Chinese,Cash,None
78,135035,22.145813,-101.018032,El Mundo de la Pasta,San Luis Potosi,No_alcohol_served,Section,Informal,No_accessibility,High,Familiar,F,Closed,None,Italian,"Cash, visa, mastercard-eurocard, american_express",Yes
79,135071,22.126375,-100.910926,Restaurante la Cantina,San Luis Potosi,Full_bar,Section,Informal,No_accessibility,Medium,Familiar,F,Closed,None,"Bar, bar_pub_brewery","Cash, visa, mastercard-eurocard, american_express",Yes
80,132834,22.156469,-100.98554,Gorditas Doa Gloria,San Luis Potosi,No_alcohol_served,Not permitted,Casual,No_accessibility,Low,Familiar,F,Closed,None,Mexican,Cash,Public
81,132846,22.1422732,-100.9426537,el lechon potosino ,San Luis Potosi,No_alcohol_served,Permitted,Casual,No_accessibility,Low,Familiar,F,Open,None,International,Cash,None
82,135048,22.142017,-100.999246,Restaurante Bar Fu-hao,San Luis Potosi,Wine-beer,None,Informal,No_accessibility,High,Familiar,F,Closed,None,Bar,"Cash, visa, mastercard-eurocard, american_express",Yes
83,132717,23.7318602,-99.1504365,tortas hawai,Unknown,No_alcohol_served,Not permitted,Informal,Partially,Medium,Familiar,F,Closed,None,Fast_food,Cash,Public
84,132861,22.1480965,-101.0173023,Carls Jr,San Luis Potosi,No_alcohol_served,Not permitted,Informal,Completely,Medium,Familiar,T,Closed,None,Burgers,"Cash, visa, mastercard-eurocard, american_express, bank_debit_cards",Yes
85,132885,22.1795169,-100.9584358,Hamburguesas saul,San Luis Potosi,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Cafeteria,Cash,Public
86,132740,23.7521965,-99.1666317,Carreton de Flautas y Migadas,Tamaulipas,No_alcohol_served,Permitted,Informal,Completely,Low,Familiar,F,Open,None,Mexican,Cash,None
87,132830,22.1508494,-100.9397522,Rincon Huasteco,Unknown,No_alcohol_served,None,Informal,Completely,Low,Familiar,F,Closed,None,Unknown,Unknown,None
88,132773,18.8699929,-99.2103195,El cotorreo,Morelos,Wine-beer,Permitted,Informal,No_accessibility,Low,Familiar,F,Open,None,"Family, mexican",Cash,None
89,132706,23.7292162,-99.1323571,Gorditas Dona Tota,Tamaulipas,No_alcohol_served,Not permitted,Informal,No_accessibility,Medium,Familiar,T,Closed,None,Mexican,"Cash, visa",Public
90,132872,22.1735955,-100.9946027,Pizzeria Julios,Mexico,No_alcohol_served,Not permitted,Informal,Partially,Medium,Familiar,F,Closed,None,American,"Cash, bank_debit_cards",Public
91,134987,18.932725,-99.225211,Chilis Cuernavaca,Morelos,Wine-beer,None,Informal,No_accessibility,Medium,Familiar,F,Closed,None,Unknown,Cash,None
92,132572,22.1416471,-100.9927118,Cafe Chaires,San Luis Potosi,No_alcohol_served,Not permitted,Informal,Completely,Low,Familiar,F,Closed,None,Cafeteria,Cash,Yes
93,132958,22.1449787,-101.0056829,tacos los volcanes,San Luis Potosi,No_alcohol_served,None,Informal,Completely,Low,Quiet,T,Closed,None,American,"Cash, visa, mastercard-eurocard, american_express, bank_debit_cards",None
94,132733,23.7527071,-99.1625655,Little Cesarz,Tamaulipas,No_alcohol_served,Not permitted,Informal,Completely,Medium,Familiar,T,Closed,None,Pizzeria,"Cash, visa, mastercard-eurocard, bank_debit_cards",Yes
