,placeID,latitude,longitude,name,state,alcohol,smoking_area,dress_code,accessibility,price,Rambience,franchise,area,other_services,Rcuisine_str,Rpayment_str,parking_lot_str,cluster
0,134999,18.915421,-99.184871,Kiku Cuernavaca,Morelos,No_alcohol_served,,Informal,No_accessibility,Medium,Familiar,F,Closed,,Japanese,Unknown,,2
1,132825,22.1473922,-100.983092,puesto de tacos,San Luis Potosi,No_alcohol_served,,Informal,Completely,Low,Familiar,F,Open,,Mexican,Cash,,0
2,135106,22.1497088,-100.9760928,El Rincón de San Francisco,San Luis Potosi,Wine-beer,Only at bar,Informal,Partially,Medium,Familiar,F,Open,,Mexican,"Cash, visa, mastercard-eurocard",,2
3,132667,23.7526973,-99.1633594,little pizza Emilio Portes Gil,Tamaulipas,No_alcohol_served,,Informal,Completely,Low,Familiar,T,Closed,,Armenian,Cash,,0
4,132613,23.7529035,-99.165076,carnitas_mata,Tamaulipas,No_alcohol_served,Permitted,Informal,Completely,Medium,Familiar,T,Closed,,Mexican,Cash,Yes,1
5,135040,22.135617,-100.969709,Restaurant los Compadres,San Luis Potosi,Wine-beer,,Informal,No_accessibility,High,Familiar,F,Closed,,Unknown,"Cash, visa, mastercard-eurocard",Yes,2
6,132732,23.7543569,-99.171288,Taqueria EL amigo ,Tamaulipas,No_alcohol_served,,Casual,Completely,Low,Familiar,F,Open,,Mexican,Cash,,0
7,132875,22.1499013,-100.9937793,shi ro ie,Unknown,Wine-beer,Section,Informal,No_accessibility,High,Familiar,T,Open,Internet,Japanese,"Cash, visa, mastercard-eurocard, american_express, bank_debit_cards",Valet parking,1
8,132609,23.7602683,-99.1658646,Pollo_Frito_Buenos_Aires,Tamaulipas,No_alcohol_served,Not permitted,Informal,Completely,Low,Quiet,T,Closed,,Fast_food,Cash,Yes,0
9,135082,22.151448,-100.915099,la Estrella de Dimas,San Luis Potosi,No_alcohol_served,,Informal,No_accessibility,Medium,Familiar,F,Closed,,Unknown,Cash,,2
10,135070,22.152918,-100.915164,Restaurante 75,San Luis Potosi,No_alcohol_served,,Informal,No_accessibility,Medium,Familiar,F,Closed,,Unknown,Cash,Yes,2
