,userID,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,Rcuisine_str,Upayment_str
0,U1001,22.139997,-100.978803,False,Abstemious,Informal,Family,On foot,Single,Independent,1989,Variety,Thrifty-protector,None,Student,Black,69,Medium,1.77,American,Cash
1,U1002,22.150087,-100.983325,False,Abstemious,Informal,Family,Public,Single,Independent,1990,Technology,Hunter-ostentatious,Catholic,Student,Red,40,Low,1.87,Mexican,Cash
2,U1003,22.119847,-100.946527,False,Social drinker,Formal,Family,Public,Single,Independent,1989,None,Hard-worker,Catholic,Student,Blue,60,Low,1.69,Mexican,Cash
3,U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,1940,Variety,Hard-worker,None,Professional,Green,44,Medium,1.53,"Bakery, Breakfast-brunch, Japanese, Contemporary, Mexican, Bagels, Cafe-coffee_shop, Continental-european, Cafeteria","Cash, Bank_debit_cards"
4,U1005,22.183477,-100.959891,False,Abstemious,No preference,Family,Public,Single,Independent,1992,None,Thrifty-protector,Catholic,Student,Black,65,Medium,1.69,American,Cash
5,U1006,22.15,-100.983,True,Social drinker,No preference,Friends,Car owner,Single,Independent,1989,Variety,Hard-worker,None,Student,Blue,75,Medium,1.8,Mexican,Cash
6,U1007,22.118464,-100.938256,False,Casual drinker,Informal,Solitary,Public,Single,Independent,1989,Variety,Thrifty-protector,Catholic,Student,Purple,60,Low,1.59,Family,Cash
7,U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,1989,Technology,Hard-worker,Catholic,Student,Green,68,Low,1.72,"Cafe-coffee_shop, Mexican, Juice, Hawaiian, Hot_dogs, Latin_american, Korean, American, Cafeteria, Italian",Cash
8,U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,1991,Variety,Thrifty-protector,Catholic,Student,Green,75,Medium,1.78,"Diner, Fast_food, Family, Cafe-coffee_shop, Deli-sandwiches, Cafeteria, Mexican",Cash
9,U1010,22.190889,-100.998669,False,Social drinker,No preference,Friends,Car owner,Married,Kids,1987,Technology,Hard-worker,None,Student,Green,40,Medium,1.67,Mexican,Cash
10,U1011,23.724972,-99.152856,False,Abstemious,No preference,Family,Public,Single,Independent,1989,Variety,Hard-worker,Catholic,Student,Purple,68,Medium,1.78,Mexican,Cash
11,U1012,18.813348,-99.243697,False,Casual drinker,Formal,Family,Public,Single,Independent,1988,Technology,Hard-worker,Catholic,Student,Red,98,Medium,1.84,Latin_american,"Cash, Bank_debit_cards"
12,U1013,22.174624,-100.993873,False,Abstemious,No preference,Friends,Public,Widow,Independent,1982,Retro,Thrifty-protector,None,Professional,Blue,80,Medium,1.75,Japanese,"Mastercard-eurocard, Cash"
13,U1014,23.751607,-99.170108,False,Abstemious,Unknown,Friends,Public,Single,Independent,1990,None,Hard-worker,Catholic,Student,Blue,53,Medium,1.69,"Japanese, Fast_food",Cash
14,U1015,22.12676,-100.905209,True,Social drinker,Informal,Family,Public,Single,Independent,1989,Technology,Thrifty-protector,Catholic,Student,Black,87,Medium,1.67,Mexican,Cash
15,U1016,22.156247,-100.977402,False,Casual drinker,Informal,Friends,On foot,Single,Independent,1991,Eco-friendly,Thrifty-protector,Catholic,Student,Green,70,Medium,1.67,"Cafe-coffee_shop, Contemporary, Regional, Fusion, Japanese, Portuguese, American, Indian-pakistani, Eastern_european, Lebanese, Moroccan, Barbecue, Polynesian, Polish",Cash
16,U1017,18.952615,-99.201616,False,Casual drinker,Formal,Family,Public,Single,Unknown,1991,Retro,Hunter-ostentatious,None,Professional,Orange,79,Medium,1.79,Chinese,"Cash, Visa"
17,U1018,22.190949,-100.917902,True,Casual drinker,Formal,Friends,Public,Single,Independent,1989,Technology,Thrifty-protector,Christian,Student,Blue,65,Low,1.83,Mexican,Cash
18,U1019,22.153385,-100.975294,False,Casual drinker,No preference,Family,Public,Single,Independent,1989,Variety,Thrifty-protector,Catholic,Student,Purple,59,Medium,1.6,Family,Cash
19,U1020,18.878189,-99.222969,False,Abstemious,No preference,Friends,Public,Single,Independent,1982,Technology,Hard-worker,Catholic,Professional,Blue,40,Medium,1.68,Mexican,"Cash, Bank_debit_cards"
20,U1021,23.730569,-99.171883,False,Social drinker,No preference,Family,Car owner,Single,Dependent,1984,None,Hard-worker,Catholic,Student,Purple,108,Medium,1.62,"Pizzeria, Regional, Chinese, Burgers",Cash
21,U1022,22.146708,-100.964355,False,Casual drinker,Formal,Family,Car owner,Single,Independent,1990,Variety,Hard-worker,Catholic,Student,Purple,46,Medium,1.54,Mexican,Cash
22,U1023,23.752943,-99.166589,False,Casual drinker,Informal,Friends,Car owner,Single,Independent,1988,None,Hard-worker,Catholic,Student,Blue,103,Low,1.79,Mexican,Cash
23,U1024,22.154021,-100.976028,Unknown,Abstemious,Unknown,Unknown,Unknown,Unknown,Unknown,1930,None,Hard-worker,None,Unknown,Yellow,40,Unknown,1.2,Afghan,
24,U1025,22.125603,-100.907844,False,Social drinker,No preference,Family,Public,Single,Unknown,1990,None,Thrifty-protector,Catholic,Student,Red,65,Medium,1.79,Mexican,
25,U1026,23.733,-99.133,False,Abstemious,Formal,Family,Public,Single,Independent,1989,Technology,Hunter-ostentatious,Catholic,Student,Red,49,Medium,1.55,Mexican,"Cash, Bank_debit_cards"
26,U1027,22.16515,-100.987015,True,Social drinker,No preference,Unknown,Public,Single,Independent,1989,Retro,Thrifty-protector,Catholic,Student,Purple,60,Low,1.65,Family,Cash
27,U1028,23.752874,-99.169242,False,Abstemious,No preference,Family,Public,Single,Independent,1989,Variety,Hard-worker,Christian,Student,Blue,77,Medium,1.63,Mexican,Cash
