,userID,latitude,longitude,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,interest,personality,activity,budget,Rcuisine_str,Upayment_str,age_group,cuisine_list,community
0,U1001,22.139997,-100.978803,False,Abstemious,Informal,Family,On foot,Single,Independent,Variety,Thrifty-protector,Student,Medium,American,Cash,Middle Aged,['American'],0
1,U1002,22.150087,-100.983325,False,Abstemious,Informal,Family,Public,Single,Independent,Technology,Hunter-ostentatious,Student,Low,Mexican,Cash,Adult,['Mexican'],0
2,U1003,22.119847,-100.946527,False,Social drinker,Formal,Family,Public,Single,Independent,,Hard-worker,Student,Low,Mexican,Cash,Middle Aged,['Mexican'],0
3,U1004,18.867,-99.183,False,Abstemious,Informal,Family,Public,Single,Independent,Variety,Hard-worker,Professional,Medium,"Bakery, Breakfast-brunch, Japanese, Contemporary, Mexican, Bagels, Cafe-coffee_shop, Continental-european, Cafeteria","Cash, Bank_debit_cards",Senior,"['Bakery', 'Breakfast-brunch', 'Japanese', 'Contemporary', 'Mexican', 'Bagels', 'Cafe-coffee_shop', 'Continental-european', 'Cafeteria']",0
4,U1005,22.183477,-100.959891,False,Abstemious,No preference,Family,Public,Single,Independent,,Thrifty-protector,Student,Medium,American,Cash,Adult,['American'],0
5,U1006,22.15,-100.983,True,Social drinker,No preference,Friends,Car owner,Single,Independent,Variety,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],0
6,U1007,22.118464,-100.938256,False,Casual drinker,Informal,Solitary,Public,Single,Independent,Variety,Thrifty-protector,Student,Low,Family,Cash,Middle Aged,['Family'],0
7,U1008,22.122989,-100.923811,False,Social drinker,Formal,Solitary,Public,Single,Independent,Technology,Hard-worker,Student,Low,"Cafe-coffee_shop, Mexican, Juice, Hawaiian, Hot_dogs, Latin_american, Korean, American, Cafeteria, Italian",Cash,Middle Aged,"['Cafe-coffee_shop', 'Mexican', 'Juice', 'Hawaiian', 'Hot_dogs', 'Latin_american', 'Korean', 'American', 'Cafeteria', 'Italian']",4
8,U1009,22.159427,-100.990448,False,Abstemious,Formal,Family,On foot,Single,Kids,Variety,Thrifty-protector,Student,Medium,"Diner, Fast_food, Family, Cafe-coffee_shop, Deli-sandwiches, Cafeteria, Mexican",Cash,Adult,"['Diner', 'Fast_food', 'Family', 'Cafe-coffee_shop', 'Deli-sandwiches', 'Cafeteria', 'Mexican']",0
9,U1010,22.190889,-100.998669,False,Social drinker,No preference,Friends,Car owner,Married,Kids,Technology,Hard-worker,Student,Medium,Mexican,Cash,Middle Aged,['Mexican'],0
